user,text,date,likes,original_id
2568126970,These before and after college photos are very alarming and proves that you should NOT send your children to college… @CollegeHumor @ColIegeStudent @CollegeBoard @imperialcollege https://t.co/kZ1oG5dD37,2023-02-26T17:50:50.000Z,0,1629901819718631424
90644862,@aliefkerr juniors are getting all the tips and tricks to make it happen next week when they take @collegeboard #schooldaySAT #aliefbychoice #aliefproud #whykerrtigers https://t.co/GMpC3QNFn1 https://t.co/vnxOKb2YS3,2023-02-21T16:46:13.000Z,6,1628073617765371904
50684256,@JessedHagopian @CollegeBoard Psyched to read this one. We are repeating so much history at the moment.,2023-02-21T20:59:16.000Z,3,1628137300772196370
1421866254403579905,"@ChristinaPushaw @CollegeBoard Nobody elected SCOTUS either, nimrod.",2023-02-21T22:41:03.000Z,0,1628162916846297089
992426621402411009,@ChristinaPushaw @CollegeBoard Isn't he trying to jam something down our throats? https://t.co/y0E30Q8hNG,2023-02-21T18:10:21.000Z,2,1628094791601848328
1443688759233585166,😐😐😐😐😐😐😐 @CollegeBoard @ThePrincetonRev u got 3 high schoolers crying in the library Rn https://t.co/rciIFg1OiN,2023-02-25T16:18:47.000Z,0,1629516268326772738
1596861171713429505,i genuinely hate collegeboard LET ME INTO MY ACCOUNT,2023-02-21T00:59:49.000Z,8,1627835450269347841
1609651698,"@CollegeBoard there's something to interest every one of your students from college board's ap classes: whether they're vaguely anti-black, a daughter of the confederacy, or a neonazi, college board serves the entire spectrum of white supremacism in every course they approve",2023-02-22T12:26:20.000Z,4,1628370603219746816
1262110445441363971,I’m gonna retire from school I can’t do this shit anymore,2023-02-21T11:30:42.000Z,4,1627994217568952320
1441643641236176898,@1ofnune @NextUpRecruits @nikebasketball @NBA @KubasakiHS @CBBonFOX @CollegeBoard @PaceUniversity @SBAthletics @JucoRecruiting @JUCOShowcase 🚨𝙂𝘼𝙈𝙀𝘿𝘼𝙔🚨  💻 Watch Live Fullᴴᴰ👉: https://t.co/zoepdFXaRq,2023-02-23T00:33:24.000Z,0,1628553578238599168
978665052797652992,Yamahtta-Taylor tweeted: “Just days ago @CollegeBoard held a mtg with African American Studies professors swearing that neither Florida or any politics influenced their decision to gut their AP African American Studies course. They pissed in our face &amp; said it was raining.”,2023-02-27T00:54:26.000Z,2,1630008422119751680
1855993225,@CollegeBoard Gonna try to WHITEWASH all of the censorship on the AP African American Studies course?,2023-02-21T04:14:03.000Z,2,1627884331023892480
596977739,"AP Day at the Capitol. Proud to represent @pgcps @OHHSClippers and the @CollegeBoard. Equity, opportunity for ALL our students in MD 🦀This AP Government Teacher was in his element!@iamwesmoore @arunamiller https://t.co/8QIbgnNR4p",2023-02-23T10:51:33.000Z,5,1628709137730179072
1565370452280635393,@RonBrownstein @CollegeBoard Marching us straight back to the dark ages is the goal.,2023-02-20T17:05:18.000Z,0,1627716033388871681
21164280,"Hey @CollegeBoard , I assigned students some homework on AP Classroom and we are all getting ""Sorry for the inconvenience but we encountered an error within our system. Please try again later."" when trying to login. Any idea how long this will be down?",2023-02-21T01:05:27.000Z,12,1627836868653113346
755704566,@CollegeBoard You’re shills. Hacks. Disgraces to the concepts of college and of education itself. Everyone knows how shameful your actions are.,2023-02-26T22:46:01.000Z,0,1629976103883251717
1358499211436818432,just bought a stanley cup with my collegeboard survey money you bitches WISH YOU WERE ME,2023-02-22T00:38:37.000Z,1,1628192501919088640
1557931379698143232,@DrJasonJohnson @APforStudents @CollegeBoard @Dr_CMGreer @FordhamNYC @MorganStateU its also going to cost the state of florida $$$$$ kids wnt stay there or parents won't send their kids to Florida for university. Won't send their kids to play sports therefore their sports programs will take a huge hit. #DeSantisIsADangerToTheUSA,2023-02-27T15:05:43.000Z,0,1630222655021252610
1208440484902817792,https://t.co/jeeNCgP1LH #CollegeBoard #TechNews #tech #TrendingNow #Trending #trend #google #android #server #news https://t.co/zynjkIDa2u,2023-02-21T04:01:44.000Z,1,1627881228081971200
1262193912191619074,Collegeboard I just want to write a dbq why bro,2023-02-21T01:13:34.000Z,2,1627838909060116480
1544598688747626496,@CollegeBoard And you are bending over backward to make sure certain subjects won’t be available in Florida because you bent over and offered your backside  for the  taking.,2023-02-26T01:04:02.000Z,1,1629648451553177605
248764142,"UA Bronx School for Law, Government, and Justice had a lot to celebrate last week!   - NYCDOE Chancellor @Realdavidcbanks came home to the school where he was once Principal.   - LGJ Student Sky won a $10,000 Big Future scholarship from @CollegeBoard  This is public education! https://t.co/BZppaiEcX9",2023-02-21T15:20:53.000Z,3,1628052144547852288
1288347995776225280,do i want to do collegeboard apes or play games,2023-02-27T06:34:02.000Z,0,1630093885342117888
1582876186891341826,@cheyney @HarryRadgen @RonBrownstein @CollegeBoard Sounds like Idaho is a great place to be. People want to have families and not have them be indoctrinated with your disgusting ideology of black and lgbt fetishism.,2023-02-20T17:36:35.000Z,0,1627723906407596038
1173443841896198144,"@usedgov;@CollegeBoard;@nhannahjones;@TheView;@CNN;@MSNBC;@CBSNews;@ABC; —Generational Ignorance Wants Act Superior Over ALL Other Races! Whites Uses N Word T Degrade, Belittle People Of Color Descents From Africa Enslaved by their fore-parents To present day Taught from Home!",2023-02-25T04:24:00.000Z,0,1629336385969586176
1173443841896198144,"@BlackLivesMtrCA;@CNN;@MSNBC;@CBSNews;@ABCNewsLive;@CalltoActivism;@nytimes;@NPR;@people;@axios;@CollegeBoard; —Warriors &amp; Fighters (Wakanda Forever Black Panther)! Racists Hateful whites Enslaved Generations of Human-beings &amp; Their Minds, 400 plus Yrs. N America T Present! —#2.",2023-02-24T16:35:41.000Z,0,1629158131279208448
